bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
4703,0.01206561090818633,34,22,10,22,124,166
4704,0.016237356207652535,34,21,8,21,105,252
4705,0.01620315987918579,34,23,6,17,68,152
4706,0.012290031949587034,34,23,10,21,87,96
4707,0.014315525446355993,34,23,10,21,89,98
4708,0.01712351218337065,34,23,9,20,105,132
4709,0.008894698891765696,34,22,7,19,93,162
4710,0.01800594372298817,34,22,6,18,64,130
4711,0.026784025460051965,34,19,10,25,124,214
4712,0.01311578688051554,34,24,10,20,108,108
4713,0.027310680929186527,34,24,8,18,82,106
4714,0.015353328345032169,34,23,9,20,123,144
4715,0.015517093585312294,34,21,11,24,128,158
4716,0.029260923386736717,34,19,10,25,124,192
4717,0.028695816434414143,34,21,9,22,121,196
4718,0.01827038769856014,34,22,10,22,124,148
4719,0.03755801755181036,34,18,10,26,120,194
4720,0.011114329730810224,34,23,7,18,80,140
4721,0.018194871622856507,34,22,9,21,102,138
4722,0.019842753121286125,34,22,8,20,140,230
4723,0.017760704737336236,34,23,10,21,117,150
4724,0.017643951009382285,34,24,10,20,94,94
4725,0.02263753911053848,34,21,8,21,115,218
4726,0.0168115416699392,34,24,8,18,99,132
4727,0.010660290790183817,34,21,9,22,97,150
4728,0.01861709592670714,34,25,7,16,64,88
4729,0.013688673208429543,34,23,8,19,110,166
4730,0.013018326098805488,34,23,8,19,85,158
4731,0.014434844849138252,34,20,11,25,153,210
4732,0.014321663843879454,34,19,7,22,130,332
4733,0.009868983983374904,34,22,10,22,99,120
4734,0.022072844416431724,34,21,9,22,132,254
4735,0.029986077202973194,34,22,7,19,93,180
4736,0.009632470465846546,34,23,8,19,84,140
4737,0.011828044678352214,34,19,9,24,102,168
4738,0.008326500242002093,34,21,9,22,146,270
4739,0.019564512104637354,34,25,8,17,78,90
4740,0.011946297124525225,34,24,8,18,106,186
4741,0.010778013916011436,34,23,9,20,104,128
4742,0.0062079853876788466,34,22,8,20,90,154
4743,0.012172530302709858,34,25,9,18,92,92
4744,0.009494854730739799,34,21,10,23,87,120
4745,0.020390142429957618,34,19,10,25,101,176
4746,0.013406467545918524,34,21,10,23,100,144
4747,0.012532988752480795,34,22,8,20,102,174
4748,0.01300401049271966,34,27,5,12,50,74
4749,0.027051483276951525,34,22,10,22,130,172
4750,0.019479668217904256,34,23,8,19,103,142
4751,0.022460538590164877,34,19,10,25,126,204
4752,0.015271219188422738,34,23,7,18,88,148
4753,0.01683693623570337,34,17,11,28,160,304
4754,0.018703599748527658,34,22,10,22,110,152
4755,0.023690844490337114,34,22,9,21,130,190
4756,0.015767257076950758,34,23,10,21,120,144
4757,0.009337219342508335,34,19,10,25,167,276
4758,0.024016205604153136,34,25,9,18,90,90
4759,0.027518653065398656,34,25,6,15,59,100
4760,0.012549323527703781,34,25,6,15,59,98
4761,0.018478755123981325,34,22,8,20,78,134
4762,0.01081458402698587,34,21,12,25,125,140
