bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
3974,30,13,29,121,160
3975,27,13,32,110,176
3976,31,13,28,123,150
3977,25,13,34,114,204
3978,28,15,33,157,202
3979,30,12,28,112,160
3980,32,11,25,118,154
3981,26,13,33,145,242
3982,30,10,26,83,146
3983,28,15,33,144,188
3984,27,10,29,117,270
3985,32,11,25,83,104
3986,31,14,29,100,106
3987,27,14,33,118,162
3988,30,14,30,121,142
3989,29,14,31,135,180
3990,32,9,23,83,150
3991,29,14,31,138,160
3992,32,11,25,104,126
3993,28,13,31,103,160
3994,29,13,30,88,132
3995,32,10,24,93,146
3996,29,13,30,117,176
3997,26,13,33,197,356
3998,31,12,27,78,96
3999,29,13,30,148,220
4000,30,11,27,67,94
4001,27,13,32,140,200
4002,29,14,31,92,116
4003,31,12,27,89,130
4004,31,13,28,141,168
4005,31,12,27,129,174
4006,26,13,33,165,364
4007,32,11,25,63,82
4008,27,13,32,127,192
4009,29,12,29,122,194
4010,31,12,27,105,138
4011,29,13,30,142,214
4012,30,13,29,152,206
4013,32,10,24,66,94
4014,33,11,24,108,132
4015,29,13,30,101,128
4016,31,10,25,101,152
4017,30,13,29,98,138
4018,28,14,32,115,160
4019,26,12,32,122,240
4020,30,11,27,136,226
4021,29,15,32,130,148
4022,31,13,28,128,176
4023,29,10,27,92,168
4024,30,15,31,125,134
4025,28,12,30,136,202
4026,31,10,25,85,126
4027,33,11,24,88,106
4028,29,11,28,92,150
4029,30,12,28,126,196
4030,30,12,28,136,208
4031,31,10,25,139,258
4032,29,13,30,163,244
4033,29,12,29,99,148
4034,31,10,25,90,158
4035,30,15,31,117,126
4036,32,12,26,80,98
4037,29,12,29,102,158
4038,30,12,28,110,140
4039,31,12,27,91,124
4040,31,12,27,99,144
4041,30,10,26,93,170
4042,33,10,23,76,100
4043,33,12,25,110,140
4044,28,12,30,102,198
4045,30,13,29,132,156
4046,27,14,33,138,238
4047,26,15,35,142,202
4048,32,12,26,94,126
4049,27,12,31,172,412
4050,28,11,29,132,248
4051,27,14,33,137,200
4052,25,15,36,134,194
4053,29,12,29,137,218
4054,29,12,29,102,168
4055,31,10,25,100,152
4056,27,12,31,135,234
4057,28,13,31,150,234
4058,30,12,28,115,160
4059,32,11,25,101,134
4060,30,14,30,122,140
4061,26,14,34,109,202
4062,34,12,24,108,108
4063,32,10,24,116,192
4064,29,10,27,138,264
4065,30,11,27,90,160
4066,28,13,31,138,192
4067,32,11,25,125,194
4068,29,12,29,106,158
4069,27,11,30,112,226
4070,30,14,30,114,138
4071,29,14,31,136,166
4072,33,10,23,112,154
4073,26,15,35,143,222
4074,30,13,29,124,148
4075,32,9,23,68,116
4076,31,13,28,119,134
4077,30,13,29,131,182
4078,24,15,37,182,292
4079,29,13,30,145,184
4080,26,14,34,144,236
4081,29,11,28,112,220
4082,28,13,31,120,184
4083,32,11,25,131,188
4084,29,15,32,163,184
4085,30,12,28,132,186
4086,33,11,24,106,130
4087,30,12,28,117,162
4088,28,13,31,114,194
4089,29,10,27,119,230
4090,30,14,30,133,154
4091,29,12,29,103,188
4092,29,13,30,133,190
4093,28,12,30,83,140
4094,28,16,34,139,154
4095,27,13,32,118,198
4096,29,10,27,80,152
4097,32,11,25,104,140
4098,31,11,26,87,132
4099,28,14,32,131,172
4100,29,11,28,122,274
4101,28,11,29,145,254
4102,32,7,21,113,258
4103,30,13,29,143,194
4104,29,10,27,149,304
4105,30,14,30,149,194
4106,27,13,32,113,180
4107,30,12,28,98,132
4108,27,14,33,133,202
4109,27,13,32,105,168
4110,30,13,29,125,170
4111,25,14,35,154,264
4112,33,11,24,89,110
4113,29,15,32,142,184
4114,29,13,30,125,188
4115,28,14,32,141,184
4116,28,12,30,129,222
4117,28,13,31,128,200
4118,31,9,24,87,150
4119,29,12,29,125,208
4120,30,10,26,89,158
4121,28,12,30,112,172
4122,28,12,30,112,184
4123,29,14,31,101,128
4124,35,9,20,87,108
4125,30,13,29,106,136
4126,34,9,21,98,122
4127,33,9,22,107,194
4128,29,14,31,134,162
4129,29,12,29,106,154
4130,31,13,28,144,224
4131,24,13,35,177,342
4132,30,11,27,91,148
4133,30,13,29,124,154
4134,29,11,28,116,188
4135,31,11,26,100,134
4136,29,13,30,152,256
4137,34,9,21,102,150
4138,31,8,23,135,298
4139,26,11,31,160,382
4140,27,14,33,157,226
4141,26,13,33,127,200
4142,28,12,30,151,302
4143,26,12,32,128,242
4144,28,10,28,109,204
4145,29,14,31,138,180
4146,34,8,20,110,192
4147,30,12,28,89,122
4148,30,10,26,134,242
4149,30,13,29,138,186
4150,28,12,30,92,160
4151,28,14,32,125,180
4152,27,13,32,125,188
4153,29,13,30,115,178
4154,31,12,27,128,176
4155,30,12,28,155,274
4156,30,11,27,107,152
4157,30,12,28,107,154
4158,31,12,27,120,214
4159,31,10,25,80,140
4160,30,12,28,112,154
4161,29,13,30,133,194
4162,32,12,26,119,146
